date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:57:52	332/332	---M-Z	200	added ('OK')	text/plain	date:Sat,%2030%20Jul%202022%2011:06:11%20GMT	https://www.Sharonyeunkim.com/robots.txt		(from )
23:57:53	58466/58466	---M-Z	200	added ('OK')	text/html	etag:W/%228968fb0d391d69cea28b7c4262f394b9%22	https://www.Sharonyeunkim.com/	C:/My%20Web%20Sites/Portfolio%20-%202/www.Sharonyeunkim.com/index.html	(from )
23:57:53	0/0	---M--	301	error ('Moved%20Permanently')	image/png	date:Fri,%2005%20Aug%202022%2018:27:51%20GMT	http://static1.squarespace.com/static/5fbadc9cb343b8246f822c04/t/6033519356f5a1760d044b2d/1613975978133/0_THUMBNAIL.png?format=1500w	C:/My%20Web%20Sites/Portfolio%20-%202/static1.squarespace.com/static/5fbadc9cb343b8246f822c04/t/6033519356f5a1760d044b2d/1613975978133/0_THUMBNAIL.026f7.delayed	(from https://www.Sharonyeunkim.com/)
23:57:55	43523/43523	---M-Z	200	added ('OK')	text/javascript	etag:%22f4b230dad791cfb9f8ea64c9781aadfb%22	http://assets.squarespace.com/@sqs/polyfiller/1.2.2/legacy.js	C:/My%20Web%20Sites/Portfolio%20-%202/assets.squarespace.com/@sqs/polyfiller/1.2.2/legacy.js	(from https://www.Sharonyeunkim.com/)
23:57:56	183/183	---M-Z	200	added ('OK')	text/javascript	etag:%226e08f72e91b9bf28c4e827726dcfac4a%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-df0bcb3fb161c9761a2a8-min.en-US.js	C:/My%20Web%20Sites/Portfolio%20-%202/assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-df0bcb3fb161c9761a2a8-min.en-US.js	(from https://www.Sharonyeunkim.com/)
23:57:59	82046/82046	---M-Z	200	added ('OK')	text/javascript	etag:%2203e5ef7c77d113abf6178fce61ec6344%22	http://assets.squarespace.com/@sqs/polyfiller/1.2.2/modern.js	C:/My%20Web%20Sites/Portfolio%20-%202/assets.squarespace.com/@sqs/polyfiller/1.2.2/modern.js	(from https://www.Sharonyeunkim.com/)
23:58:01	121914/121914	---M-Z	200	added ('OK')	text/javascript	etag:%22741e7a67fad5265f5461ddc15a13b68b%22	http://assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-a99bfd704f08d86ca2c5f-min.en-US.js	C:/My%20Web%20Sites/Portfolio%20-%202/assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-a99bfd704f08d86ca2c5f-min.en-US.js	(from https://www.Sharonyeunkim.com/)
23:58:12	245961/245961	---M-Z	200	added ('OK')	text/javascript	etag:%22f82a717dbd72eebca89b6ad1e26438c8%22	http://assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-1f7107f1c77c3d102a5a3-min.en-US.js	C:/My%20Web%20Sites/Portfolio%20-%202/assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-1f7107f1c77c3d102a5a3-min.en-US.js	(from https://www.Sharonyeunkim.com/)
23:58:14	575871/575871	---M-Z	200	added ('OK')	text/javascript	etag:%22236f9b75f28ba39aa3a9da264796423f%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-0c99b8bf7f3dd5358b2f5-min.en-US.js	C:/My%20Web%20Sites/Portfolio%20-%202/assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-0c99b8bf7f3dd5358b2f5-min.en-US.js	(from https://www.Sharonyeunkim.com/)
23:58:16	25958/25958	---M-Z	200	added ('OK')	text/javascript	etag:%2230e95604bc2a8ac5b65c4ccfa72c81f8%22	http://assets.squarespace.com/universal/scripts-compressed/performance-27bdd9973d5746e78e9dc-min.en-US.js	C:/My%20Web%20Sites/Portfolio%20-%202/assets.squarespace.com/universal/scripts-compressed/performance-27bdd9973d5746e78e9dc-min.en-US.js	(from https://www.Sharonyeunkim.com/)
23:58:22	1041243/1041243	---M-Z	200	added ('OK')	text/css	date:Fri,%2005%20Aug%202022%2018:28:15%20GMT	https://static1.squarespace.com/static/sitecss/5fbadc9cb343b8246f822c04/24/55dccafee4b04b8e0d7b6d4d/5fd805c68f52e72873cf9d15/961/site.css	C:/My%20Web%20Sites/Portfolio%20-%202/static1.squarespace.com/static/sitecss/5fbadc9cb343b8246f822c04/24/55dccafee4b04b8e0d7b6d4d/5fd805c68f52e72873cf9d15/961/site.css	(from https://www.Sharonyeunkim.com/)
23:58:24	5601/5601	---M--	200	added ('OK')	image/svg+xml	etag:W/%22da74abc7f2de9b1d2ccbf18c4e88cf17%22	https://www.Sharonyeunkim.com/assets/ui-icons.svg	C:/My%20Web%20Sites/Portfolio%20-%202/www.Sharonyeunkim.com/assets/ui-icons.svg	(from https://www.Sharonyeunkim.com/)
23:58:31	619156/619156	---M-Z	200	added ('OK')	text/javascript	etag:%2203528ae9407401e79b8dc0525dd14ad4%22	http://assets.squarespace.com/universal/scripts-compressed/common-vendors-698b11fef0dc458732f27-min.en-US.js	C:/My%20Web%20Sites/Portfolio%20-%202/assets.squarespace.com/universal/scripts-compressed/common-vendors-698b11fef0dc458732f27-min.en-US.js	(from https://www.Sharonyeunkim.com/)
23:58:38	308011/308011	---M--	200	added ('OK')	image/png	etag:CP2/qIbx/O4CEAE=	https://images.squarespace-cdn.com/content/5fbadc9cb343b8246f822c04/1613975961734-YGYTQ3DNUKRBKAJG3MUN/0_THUMBNAIL.png?format=1500w&content-type=image%2Fpng	C:/My%20Web%20Sites/Portfolio%20-%202/images.squarespace-cdn.com/content/5fbadc9cb343b8246f822c04/1613975961734-YGYTQ3DNUKRBKAJG3MUN/0_THUMBNAIL2acd.png	(from https://www.Sharonyeunkim.com/)
23:58:41	94643/94643	---M-Z	200	added ('OK')	text/html	etag:W/%22f4d8596ac397624e8fbb339b51628e4f%22	https://www.Sharonyeunkim.com/onnit	C:/My%20Web%20Sites/Portfolio%20-%202/www.Sharonyeunkim.com/onnit.html	(from https://www.Sharonyeunkim.com/)
23:58:45	138315/138315	---M--	200	added ('OK')	image/png	etag:CKmxzO7OkfYCEAE=	https://images.squarespace-cdn.com/content/v1/5fbadc9cb343b8246f822c04/05c3213c-af05-474b-ae81-cb0e26596a36/iPad+Pro+12.9_+-+19.png	C:/My%20Web%20Sites/Portfolio%20-%202/images.squarespace-cdn.com/content/v1/5fbadc9cb343b8246f822c04/05c3213c-af05-474b-ae81-cb0e26596a36/iPad+Pro+12.9_+-+19.png	(from https://www.Sharonyeunkim.com/)
23:58:48	82839/82839	---M-Z	200	added ('OK')	text/html	etag:W/%22ebb1fdf1485804409f75f6f387dc276c%22	https://www.Sharonyeunkim.com/homesfirst	C:/My%20Web%20Sites/Portfolio%20-%202/www.Sharonyeunkim.com/homesfirst.html	(from https://www.Sharonyeunkim.com/)
23:58:48	820885/820885	---M-Z	200	added ('OK')	text/javascript	etag:%22eba0063ac9a7752e631446f30ae91fa5%22	http://assets.squarespace.com/universal/scripts-compressed/common-7757d833c93d710bb676d-min.en-US.js	C:/My%20Web%20Sites/Portfolio%20-%202/assets.squarespace.com/universal/scripts-compressed/common-7757d833c93d710bb676d-min.en-US.js	(from https://www.Sharonyeunkim.com/)
23:58:49	343581/343581	---M--	200	added ('OK')	image/png	etag:CMKI0ZSm8PMCEAE=	https://images.squarespace-cdn.com/content/v1/5fbadc9cb343b8246f822c04/36ee4cc9-7810-407b-a96f-70665f4c633c/Frame+1.png	C:/My%20Web%20Sites/Portfolio%20-%202/images.squarespace-cdn.com/content/v1/5fbadc9cb343b8246f822c04/36ee4cc9-7810-407b-a96f-70665f4c633c/Frame+1.png	(from https://www.Sharonyeunkim.com/)
23:58:49	670872/670872	---M--	200	added ('OK')	image/png	etag:CPCcksSl+u4CEAE=	https://images.squarespace-cdn.com/content/v1/5fbadc9cb343b8246f822c04/1613886975052-7CEQ8Y7IDP77J75M2F4O/1_ONNIT_Thumbnail.png	C:/My%20Web%20Sites/Portfolio%20-%202/images.squarespace-cdn.com/content/v1/5fbadc9cb343b8246f822c04/1613886975052-7CEQ8Y7IDP77J75M2F4O/1_ONNIT_Thumbnail.png	(from https://www.Sharonyeunkim.com/)
23:58:50	742522/742522	---M--	200	added ('OK')	image/png	etag:CKaT/uaM+u4CEAE=	https://images.squarespace-cdn.com/content/v1/5fbadc9cb343b8246f822c04/1613880334387-LFIBIRYSH6URJTUTNT4D/0_THUMBNAIL.png	C:/My%20Web%20Sites/Portfolio%20-%202/images.squarespace-cdn.com/content/v1/5fbadc9cb343b8246f822c04/1613880334387-LFIBIRYSH6URJTUTNT4D/0_THUMBNAIL.png	(from https://www.Sharonyeunkim.com/)
23:58:50	467933/467933	---M--	200	added ('OK')	image/png	etag:CObrh9HC4fICEAE=	https://images.squarespace-cdn.com/content/v1/5fbadc9cb343b8246f822c04/1630627980897-ZRSKY3DZYZHQSTD36I6I/iPad+Pro+12.9_+-+32.png	C:/My%20Web%20Sites/Portfolio%20-%202/images.squarespace-cdn.com/content/v1/5fbadc9cb343b8246f822c04/1630627980897-ZRSKY3DZYZHQSTD36I6I/iPad+Pro+12.9_+-+32.png	(from https://www.Sharonyeunkim.com/)
23:58:52	1262/1262	---M--	200	added ('OK')	image/png	etag:W/%2236f85af5bffdef1da54e0bcb6d116b92%22	http://assets.squarespace.com/universal/images-v6/damask/error-dark.png	C:/My%20Web%20Sites/Portfolio%20-%202/assets.squarespace.com/universal/images-v6/damask/error-dark.png	(from https://static1.squarespace.com/static/sitecss/5fbadc9cb343b8246f822c04/24/55dccafee4b04b8e0d7b6d4d/5fd805c68f52e72873cf9d15/961/site.css)
23:58:52	1676/1676	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:28:04%20GMT	http://assets.squarespace.com/universal/images-v6/damask/error-dark@2x.png	C:/My%20Web%20Sites/Portfolio%20-%202/assets.squarespace.com/universal/images-v6/damask/error-dark@2x.png	(from https://static1.squarespace.com/static/sitecss/5fbadc9cb343b8246f822c04/24/55dccafee4b04b8e0d7b6d4d/5fd805c68f52e72873cf9d15/961/site.css)
